name,peopleNumber,detailLink,publishTime,positionInfo,workLocation
17467-SNG市场部-品牌经理（深圳）,,position_detail.php?id=42947&keywords=&tid=0&lid=0,,,
22968-华南食品饮料行业策划经理（广州）,,position_detail.php?id=42949&keywords=&tid=0&lid=0,,,
TEG02-网络管控系统后台开发工程师（深圳）,,position_detail.php?id=42953&keywords=&tid=0&lid=0,,,
GY0-运维开发工程师,,position_detail.php?id=42934&keywords=&tid=0&lid=0,,,
24549-互动运营经理（广州）,,position_detail.php?id=42938&keywords=&tid=0&lid=0,,,
18796-数据营销分析师（深圳）,,position_detail.php?id=42930&keywords=&tid=0&lid=0,,,
SNG17-手Q轻游戏平台后台开发工程师（深圳）,,position_detail.php?id=42924&keywords=&tid=0&lid=0,,,
26563-Android开发工程师（深圳）,,position_detail.php?id=42925&keywords=&tid=0&lid=0,,,
26563-iOS开发工程师（深圳）,,position_detail.php?id=42926&keywords=&tid=0&lid=0,,,
28603-113 微信支付核心支付开发工程师(深圳),,position_detail.php?id=42917&keywords=&tid=0&lid=0,,,
OMG097-前端开发工程师（深圳）,,position_detail.php?id=42919&keywords=&tid=0&lid=0,,,
27730-短视频社区运营产品经理（深圳）,,position_detail.php?id=42920&keywords=&tid=0&lid=0,,,
WXG04-115 微信游戏后台开发工程师（深圳）,,position_detail.php?id=42909&keywords=&tid=0&lid=0,,,
25666-腾讯云华北区域销售（天津）,,position_detail.php?id=42910&keywords=&tid=0&lid=0,,,
HY6-互娱区域媒介经理（深圳）,,position_detail.php?id=42913&keywords=&tid=0&lid=0,,,
TZ-Corporate Communication Senior Consultant（Hong Kong）,,position_detail.php?id=42904&keywords=&tid=0&lid=0,,,
TEG15-计费系统后台测试工程师（深圳）,,position_detail.php?id=42906&keywords=&tid=0&lid=0,,,
18302-游戏后台开发工程师（深圳）,,position_detail.php?id=42907&keywords=&tid=0&lid=0,,,
25666-腾讯云华北区域销售(北京、雄安、天津、山西、河北）,,position_detail.php?id=42900&keywords=&tid=0&lid=0,,,
TEG05-高级安全解决方案工程师（深圳）,,position_detail.php?id=42901&keywords=&tid=0&lid=0,,,
MIG09-浏览器推荐产品经理,,position_detail.php?id=42890&keywords=&tid=0&lid=0,,,
WXG06-212 微信支付资金产品经理（深圳）,,position_detail.php?id=42894&keywords=&tid=0&lid=0,,,
25666-腾讯云华北区域销售(北京、雄安、天津、山西、河北）,,position_detail.php?id=42897&keywords=&tid=0&lid=0,,,
25666-腾讯云华北区域销售（陕西、甘肃、青海、宁夏、新疆、内蒙古),,position_detail.php?id=42883&keywords=&tid=0&lid=0,,,
25666-腾讯云华北区域销售（陕西、甘肃、青海、宁夏、新疆、内蒙古),,position_detail.php?id=42885&keywords=&tid=0&lid=0,,,
SNG08-图像算法岗位（上海）,,position_detail.php?id=42887&keywords=&tid=0&lid=0,,,
18428-AI测试工程师,,position_detail.php?id=42888&keywords=&tid=0&lid=0,,,
SA-腾讯社交广告商业平台产品经理(OM广告 深圳）,,position_detail.php?id=42877&keywords=&tid=0&lid=0,,,
SNG08-社交平台部-原创馆产品经理（深圳）,,position_detail.php?id=42878&keywords=&tid=0&lid=0,,,
25666-腾讯云华北区域销售（陕西、甘肃、青海、宁夏、新疆、内蒙古),,position_detail.php?id=42881&keywords=&tid=0&lid=0,,,
25666-腾讯云华北区域销售（陕西、甘肃、青海、宁夏、新疆、内蒙古),,position_detail.php?id=42882&keywords=&tid=0&lid=0,,,
SA-腾讯社交广告投放端产品经理（微信广告 深圳）,,position_detail.php?id=42870&keywords=&tid=0&lid=0,,,
WXG08-212 微信看一看产品策划经理（广州）,,position_detail.php?id=42873&keywords=&tid=0&lid=0,,,
OMG097-高级算法工程师（深圳）,,position_detail.php?id=42875&keywords=&tid=0&lid=0,,,
27092-游戏高级产品运营（深圳）,,position_detail.php?id=42864&keywords=&tid=0&lid=0,,,
SNG17-社交产品高级产品经理（深圳）,,position_detail.php?id=42866&keywords=&tid=0&lid=0,,,
SNG17-内容运营高级产品经理（深圳）,,position_detail.php?id=42867&keywords=&tid=0&lid=0,,,
